Kood,Vanem,Tegevusala tekst,SIIA  KUULUB,SIIA KUULUB VEEL,SIIA EI KUULU,ERIALALIIDUD,ON ERINÕUDEID?
A,,"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK","Jagu A hõlmab taimsete ja loomsete loodusvarade kasutamist. Siia kuulub põllukultuuride kasvatus, loomakasvatus ja -aretus, metsasaaduste ning muude taimsete ja loomsete saaduste varumine talumajapidamises või looduskeskkonnas.",,,"Eesti E-kaubanduse Liit
Eesti Kaubandus-Tööstuskoda
Eesti Kaupmeeste Liit
Eesti Tööandjate Keskliit
Eesti Väike – ja Keskmiste Ettevõtjate Assotsiatsioon (EVEA)
Rahvusvaheline Kaubanduskoda ICC Eesti",EI
01,A,"Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad","Osa 01 hõlmab põllumajanduslikku tootmist ehk taime-ja loomakasvatus hõlmab nii mahepõllumajandust kui ka geneetiliselt muundatud teravilja ja loomade kasvatust, põllukultuuride kasvatust avamaal ja kasvuhoonetes. 
Gruppi 015 (Segapõllumajandus) liigitatakse üksused, kes tegelevad (tasakaalustatult) nii taime- kui loomakasvatusega. Antud gruppi kuulub ka toodete ettevalmistamine esmaseks turustamiseks. Siia liigitatakse ka jahindus ning seda teenindavad tegevusalad.",,"põllumajandussaaduste edasine töötlemine, vt 10, 11, 12 
põldude rajamine (nt põllumajandusmaadele terrasside rajamine, kuivendamine, riisipõldude ettevalmistamine jne, vt jagu F − Ehitus)
põllumajandussaaduste turustamisega seotud vahendajad ja ühistud (jagu G)
maastiku hooldus ja korrashoid, vt 8130",Eesti Põllumajandus-Kaubanduskoda,EI
011,01,Üheaastaste põllukultuuride kasvatus,"Siia gruppi kuulub ka kahe-ja mitmeaastaste põllukultuuride kasvatus, k.a seemnete tootmiseks.",,,,EI
0111,011,"Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus","Siia klassi kuulub ka kahe-ja mitmeaastaste teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus.",,,,JAH
01111,0111,Teravilja- (v.a riis) ja kaunviljakasvatus; õlitaimeseemnete kasvatus,"Siia kuulub ühe-, kahe- ja mitmeaastaste teravilja, kaunvilja ja õlitaimeseemnete kasvatus avamaal. Põllumajanduslikus üksuses kasvatatakse neid põlluvilju sageli kombineeritult. 
− teraviljakasvatus (nt nisu, oder, rukis, kaer, hirss, mais, sorgo jm mujal liigitamata teraviljad)
− kaunviljakasvatus (nt aed- ja põlduba, aed-, kiker-, salat- ja tuvihernes, lääts, lupiin jm kaunviljad)
− õlitaimeseemnete kasvatus (nt soja- ja riitsinusuba, lina-, sinepi-, rapsi-, seesami- ja päevalilleseemned, puuvillapõõsa, värvisafloori ja õliramtilla seemned, maapähkel jm õlitaimeseemned)","− teravilja, kaunvilja, õliseemne idandite kasvatamine
− rüpsi kasvatamine, õlikanepiseemnete kasvatamine","riisikasvatus, vt 01121
magusmaisikasvatus, vt 01131
maisikasvatus söödaks, vt 01199
õlitaimede kasvatus, vt 01261",,JAH
0112,011,Riisikasvatus,,,,,EI
01121,0112,Riisikasvatus,,,,,EI
0113,011,"Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus","Siia kuulub ka kahe-ja mitmeaastane köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus.",,,,JAH
01131,0113,"Köögivilja- (sh kõrvitsaliste), juurvilja- ja mugulviljakasvatus, k.a seenekasvatus","Siia kuulub ka kahe-ja mitmeaastane köögivilja-, juurvilja- ja mugulviljakasvatus, k.a seenekasvatus.    
                                                                  
− juurvilja- ja mugulviljakasvatus                                                                                           − leht- ja varsköögiviljade kasvatus (nt artišokk, kapsas, lill- ja spargelkapsas, spargel, spinat, salat, sigur jm leht- ja varsköögiviljad)
− viliköögiviljade kasvatus (nt kurgid ja kornišonid, munataim e baklažaan, tomat, arbuus, kantaluup-melon jm melonid ja viliköögiviljad)
− juur-, sibul- ja mugulköögiviljade kasvatus (nt porgand, kaalikas, küüslauk, sibul, k.a šalottsibul, porrulauk jm juur-, sibul- ja mugulköögiviljad)
− seene- ja trühvlikasvatus
− köögiviljaseemnete kasvatus, k.a suhkrupeediseemned, v.a muud peediseemned
− suhkrupeedikasvatus
− muude köögiviljade kasvatus
− juur- ja mugulköögiviljade kasvatus (nt kartul, bataat e maguskartul, jahumaniokk, jamss jm juur- ja mugulköögiviljad)","− rabarberi kasvatamine
− köögivilja idandite kasvatamine
− magus paprika (salatipaprika) kasvatus","tšillipipra, paprika (capsicum sop.) jm vürtsi- ja maitsetaimede kasvatus, vt 0128
seeneniidistiku kasvatamine, vt 01301",,JAH
0114,011,Suhkrurookasvatus,Siia kuulub ka kahe-ja mitmeaastane suhkrurookasvatus.,,,,EI
